country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Luxembourg,LUX,Europe,Western Europe,2013,0.892,80,544885,81.8,113625.1329
Madagascar,MDG,Africa,Sub-Saharan Africa,2013,0.509,28,22924557,64.713,461.7230722
Malawi,MWI,Africa,Sub-Saharan Africa,2013,0.466,37,16190126,61.02,332.9210249
Malaysia,MYS,Asia,South-eastern Asia,2013,0.783,50,29465372,74.797,10882.2891
Maldives,MDV,Asia,Southern Asia,2013,0.693,NA,351111,76.571,8291.485295
Mali,MLI,Africa,Sub-Saharan Africa,2013,0.43,28,16592097,56.556,803.8935757
Malta,MLT,Europe,Southern Europe,2013,0.847,56,416747,81.74634146,23820.36341
Mauritania,MRT,Africa,Sub-Saharan Africa,2013,0.509,30,3872684,62.711,1450.577949
Mauritius,MUS,Africa,Sub-Saharan Africa,2013,0.769,52,1263560,74.01707317,9637.00265
Mexico,MEX,Americas,Latin America and the Caribbean,2013,0.754,34,123740109,76.579,10400.56316
Mongolia,MNG,Asia,Eastern Asia,2013,0.729,38,2859174,68.558,4385.379355
Montenegro,MNE,Europe,Southern Europe,2013,0.803,44,624648,76.43,7186.431924
Morocco,MAR,Africa,Northern Africa,2013,0.64,37,33452686,75.026,3111.762887
Mozambique,MOZ,Africa,Sub-Saharan Africa,2013,0.409,30,26467180,56.483,605.9856082
Myanmar,MMR,Asia,South-eastern Asia,2013,0.547,21,52983829,66.066,1171.464477
Namibia,NAM,Africa,Sub-Saharan Africa,2013,0.632,48,2346592,61.982,5490.041314
Nepal,NPL,Asia,Southern Asia,2013,0.551,31,27834981,69.126,688.6172788
Netherlands,NLD,Europe,Western Europe,2013,0.923,83,16809157,81.30487805,51574.48942
New Zealand,NZL,Oceania,Australia and New Zealand,2013,0.91,91,4465276,81.40731707,42949.32684
Nicaragua,NIC,Americas,Latin America and the Caribbean,2013,0.636,28,5945646,74.608,1847.198049
Niger,NER,Africa,Sub-Saharan Africa,2013,0.345,34,18358863,58.727,416.1401152
Nigeria,NGA,Africa,Sub-Saharan Africa,2013,0.521,25,172816517,52.121,2996.964303
Norway,NOR,Europe,Northern Europe,2013,0.945,86,5083450,81.75121951,103059.2482
Oman,OMN,Asia,Western Asia,2013,0.796,47,3906912,76.358,21227.21235
Pakistan,PAK,Asia,Southern Asia,2013,0.542,28,181192646,65.927,1272.441061
Panama,PAN,Americas,Latin America and the Caribbean,2013,0.78,35,3805683,77.413,11879.75653
Papua New Guinea,PNG,Oceania,Melanesia,2013,0.511,25,7308864,65.082,2800.169029
Paraguay,PRY,Americas,Latin America and the Caribbean,2013,0.688,24,6465669,72.786,5967.656872
Peru,PER,Americas,Latin America and the Caribbean,2013,0.735,38,30565461,74.298,6583.116248
Philippines,PHL,Asia,South-eastern Asia,2013,0.676,36,97571676,68.68,2760.289146
Poland,POL,Europe,Eastern Europe,2013,0.85,60,38618698,77,13780.19061
Portugal,PRT,Europe,Southern Europe,2013,0.837,62,10459716,80.72195122,21618.73534
Qatar,QAT,Asia,Western Asia,2013,0.854,68,2101288,77.739,88304.87958
Romania,ROU,Europe,Eastern Europe,2013,0.797,43,19794163,75.06341463,9555.244217
Rwanda,RWA,Africa,Sub-Saharan Africa,2013,0.488,53,11078095,65.598,688.8223493
Samoa,WSM,Oceania,Polynesia,2013,0.701,NA,190390,74.206,4219.024862
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,2013,0.562,42,182386,66.241,1619.528517
Saudi Arabia,SAU,Asia,Western Asia,2013,0.841,46,30201051,74.066,24934.38614
Senegal,SEN,Africa,Sub-Saharan Africa,2013,0.483,41,14221041,65.914,1342.758689
Serbia,SRB,Europe,Southern Europe,2013,0.771,42,8937605,75.18536585,6353.826383
Seychelles,SYC,Africa,Sub-Saharan Africa,2013,0.766,54,95215,73.1195122,14765.68233
Sierra Leone,SLE,Africa,Sub-Saharan Africa,2013,0.426,30,6178859,50.401,710.8186998
Singapore,SGP,Asia,South-eastern Asia,2013,0.922,86,5405009,82.24634146,56389.18178
Slovenia,SVN,Europe,Southern Europe,2013,0.888,57,2064819,80.32195122,23357.9392
Solomon Islands,SLB,Oceania,Melanesia,2013,0.512,NA,560685,69.771,2004.899972
South Africa,ZAF,Africa,Sub-Saharan Africa,2013,0.66,42,53416609,59.83,6819.062302
South Sudan,SSD,Africa,Sub-Saharan Africa,2013,0.421,14,11453810,55.294,1336.645256
Spain,ESP,Europe,Southern Europe,2013,0.877,59,46455163,83.07804878,29211.77375
Sri Lanka,LKA,Asia,Southern Asia,2013,0.76,37,20521959,74.741,3610.289363
Sudan,SDN,Africa,Northern Africa,2013,0.485,11,38515095,63.712,1955.660799
Suriname,SUR,Americas,Latin America and the Caribbean,2013,0.722,36,533450,70.976,9491.570453
Sweden,SWE,Europe,Northern Europe,2013,0.906,89,9624247,81.95609756,60283.24522
Switzerland,CHE,Europe,Western Europe,2013,0.936,85,8118719,82.79756098,85112.4644
Tajikistan,TJK,Asia,Central Asia,2013,0.622,22,8111894,70.477,1040.137412
Thailand,THA,Asia,South-eastern Asia,2013,0.737,35,67451422,74.678,6168.394881
Timor-Leste,TLS,Asia,South-eastern Asia,2013,0.612,30,1129315,68.033,4770.315933
Togo,TGO,Africa,Sub-Saharan Africa,2013,0.475,29,6928719,59.174,613.4402094
Tonga,TON,Oceania,Polynesia,2013,0.716,NA,105139,72.588,4278.884567
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,2013,0.778,38,1348240,70.28,19713.37929
Tunisia,TUN,Africa,Northern Africa,2013,0.722,41,11005706,75.167,4199.084678
Turkey,TUR,Asia,Western Asia,2013,0.759,50,76223639,74.977,12542.72093
Turkmenistan,TKM,Asia,Central Asia,2013,0.683,17,5240088,67.375,7304.420525
Uganda,UGA,Africa,Sub-Saharan Africa,2013,0.483,26,36573387,58.819,655.0495315
Ukraine,UKR,Europe,Eastern Europe,2013,0.746,25,45165211,71.1595122,4029.715504
